index_date,btc_usd_observed,btc_usd_fitted,btc_usd_predicted,std_error,ci_95_lower,ci_95_upper
2017-01-01,984.39961841094,,,,,
2017-02-01,1154.27833584189,,,,,
2017-03-01,1339.67036508276,,,,,
2017-04-01,1304.57802735206,,,,,
2017-05-01,2042.2492689819,,,,,
2017-06-01,2569.2651600348,,,,,
2017-07-01,2672.64564128249,,,,,
2017-08-01,4280.94426721667,,,,,
2017-09-01,4817.55859691938,,,,,
2017-10-01,6184.61546439483,,,,,
2017-11-01,10574.0777826586,,,,,
2017-12-01,14591.3928577232,,,,,
2018-01-01,10376.9514672349,,,,,
2018-02-01,10053.9329544847,9772.177920844397,,,,
2018-03-01,8526.33304500618,10333.758468481108,,,,
2018-04-01,8748.55685016932,5781.874662161254,,,,
2018-05-01,6755.05547942424,8998.557058877575,,,,
2018-06-01,6707.43891293015,6323.660811875024,,,,
2018-07-01,7302.73477488841,7052.273249595531,,,,
2018-08-01,6486.32607706068,7122.278833633967,,,,
2018-09-01,7451.08485931703,6076.03730897242,,,,
2018-10-01,6093.03455422035,7522.836610811764,,,,
2018-11-01,4151.13401318153,5745.774913895948,,,,
2018-12-01,3852.3676159418,4979.283218134149,,,,
2019-01-01,3526.7756171305,2952.1394873802483,,,,
2019-02-01,3649.35594288775,2538.9378056845603,,,,
2019-03-01,4775.57477732174,3458.1600885029684,,,,
2019-04-01,4879.1482499357,5453.933163531366,,,,
2019-05-01,7857.46423483447,5142.296235407115,,,,
2019-06-01,11684.4740716071,8911.443710877113,,,,
2019-07-01,9538.60689026503,12398.805558835726,,,,
2019-08-01,9215.63565864441,10015.486295051203,,,,
2019-09-01,9413.09807760523,8395.149353819155,,,,
2019-10-01,8950.48305484911,9183.530934904855,,,,
2019-11-01,7860.1245957687,11433.367462697403,,,,
2019-12-01,7361.89650209663,9543.123825223185,,,,
2020-01-01,9530.18055273742,3212.8670900026405,,,,
2020-02-01,7958.18525241961,9491.734191971427,,,,
2020-03-01,6959.54216104464,5062.9719722748105,,,,
2020-04-01,7654.21707337551,12169.59346967511,,,,
2020-05-01,8832.38890442849,4170.05797966523,,,,
2020-06-01,10243.3164877655,8412.509604128027,,,,
2020-07-01,10894.7002207845,10265.848641767494,,,,
2020-08-01,11675.774073622,11728.248589826486,,,,
2020-09-01,12400.2668338172,11112.901677212925,,,,
2020-10-01,13524.50623471,12650.413671057435,,,,
2020-11-01,20245.7782523042,13831.869434416718,,,,
2020-12-01,29550.7150678103,21049.628248124398,,,,
2021-01-01,33528.5077391123,33082.79427568411,,,,
2021-02-01,40682.8768627767,33834.665390269154,,,,
2021-03-01,59622.6660479995,48176.174026869725,,,,
2021-04-01,50041.3493793727,61802.34982961819,,,,
2021-05-01,35529.7546089209,41867.99351603768,,,,
2021-06-01,40766.4368477099,40426.31051700401,,,,
2021-07-01,40638.3472096418,35426.83186341982,,,,
2021-08-01,49110.6126114999,39968.49401133768,,,,
2021-09-01,50798.3660567969,52532.96350540197,,,,
2021-10-01,61077.7435028584,53518.8436462438,,,,
2021-11-01,58470.4542661082,66842.01956666558,,,,
2021-12-01,46606.3098103005,48079.99994289489,,,,
2022-01-01,38602.5234131944,48584.699712320034,,,,
2022-02-01,38218.5934749446,37638.18029841819,,,,
2022-03-01,43787.9735369893,34294.950586644685,,,,
2022-04-01,32429.3366269359,43858.86253236186,,,,
2022-05-01,30798.1071215888,27483.053766712204,,,,
2022-06-01,23629.1054973261,35882.3430480012,,,,
2022-07-01,,,35882.3430480012,6627.94742796253,22891.804729866097,48872.88136613631
2022-08-01,,,25671.485323510784,9980.698058510237,12680.94707327934,38662.023573742226
2022-09-01,,,16993.230962487665,14245.25336518948,-2568.5777727612403,36555.039697736574
2022-10-01,,,19674.75305730596,17873.522218074886,-8245.430489113427,47594.93660372535
2022-11-01,,,19974.43206563492,20785.175029183825,-15057.027758668319,55005.89188993815
2022-12-01,,,23032.256735846913,23061.452005459723,-17705.937733714654,63770.45120540848
