index_date,eth_usd_observed,eth_usd_fitted,eth_usd_predicted,std_error,ci_95_lower,ci_95_upper
2021-01-01,730.3675537109375,,,,,
2021-01-02,774.5349731445312,,,,,
2021-01-03,975.5076904296876,,,,,
2021-01-04,1040.2330322265625,,,,,
2021-01-05,1100.006103515625,,,,,
2021-01-06,1207.1121826171875,,,,,
2021-01-07,1225.6781005859375,,,,,
2021-01-08,1224.1971435546875,,,,,
2021-01-09,1281.0772705078125,,,,,
2021-01-10,1262.2467041015625,,,,,
2021-01-11,1090.1453857421875,,,,,
2021-01-12,1043.4345703125,,,,,
2021-01-13,1130.7393798828125,,,,,
2021-01-14,1218.4530029296875,,,,,
2021-01-15,1171.8345947265625,,,,,
2021-01-16,1233.53759765625,1094.7993614222796,,,,
2021-01-17,1230.1722412109375,1082.682882209239,,,,
2021-01-18,1257.279541015625,1145.0360293162676,,,,
2021-01-19,1377.2958984375,944.7426083550295,,,,
2021-01-20,1382.2740478515625,1293.6984219276997,,,,
2021-01-21,1121.5709228515625,1545.6079350736063,,,,
2021-01-22,1236.51220703125,1161.9082790188875,,,,
2021-01-23,1230.9906005859375,1233.5943928995514,,,,
2021-01-24,1391.609375,1235.374127107358,,,,
2021-01-25,1324.414794921875,1329.756828213677,,,,
2021-01-26,1357.05810546875,1131.0896381778975,,,,
2021-01-27,1253.1871337890625,1484.176994212631,,,,
2021-01-28,1332.4921875,1175.6637554554163,,,,
2021-01-29,1382.5228271484375,1299.2641506096995,,,,
2021-01-30,1376.115478515625,1310.8172775157132,,,,
2021-01-31,1314.9862060546875,1471.4696511520604,,,,
2021-02-01,1369.04052734375,1354.2227766689145,,,,
2021-02-02,1515.1937255859375,1483.6740422801597,,,,
2021-02-03,1660.9095458984375,1459.0065443024534,,,,
2021-02-04,1594.7626953125,1440.6461546321634,,,,
2021-02-05,1718.65087890625,1745.7975981741695,,,,
2021-02-06,1677.8468017578125,1686.626195692722,,,,
2021-02-07,1614.227783203125,1654.030564135414,,,,
2021-02-08,1746.6168212890625,1686.4447023520752,,,,
2021-02-09,1768.0350341796875,1858.27849681258,,,,
2021-02-10,1744.243408203125,1709.2955938696932,,,,
2021-02-11,1783.7979736328125,1768.9730400888334,,,,
2021-02-12,1843.5325927734373,1859.9419192012315,,,,
2021-02-13,1814.10986328125,1876.5057066712443,,,,
2021-02-14,1805.0841064453125,1737.0409901940186,,,,
2021-02-15,1779.791015625,1767.3956364993642,,,,
2021-02-16,1781.0675048828125,1853.883356230042,,,,
2021-02-17,1848.458251953125,1929.0820318936467,,,,
2021-02-18,1937.44921875,1893.7366118678124,,,,
2021-02-19,1960.164794921875,1920.052455906315,,,,
2021-02-20,1919.5340576171875,1918.6383305531074,,,,
2021-02-21,1935.60107421875,1943.9244596638723,,,,
2021-02-22,1781.992919921875,1804.0733508402584,,,,
2021-02-23,1570.2039794921875,1748.374105059326,,,,
2021-02-24,1626.57568359375,1770.7675328630776,,,,
2021-02-25,1475.7037353515625,1575.7911520332652,,,,
2021-02-26,1446.03369140625,1411.1453520210716,,,,
2021-02-27,1459.97314453125,1452.3145087722644,,,,
2021-02-28,1416.0489501953125,1397.1598616290084,,,,
2021-03-01,1564.7076416015625,1559.7691474850483,,,,
2021-03-02,1492.6087646484375,1327.1312406104253,,,,
2021-03-03,1575.8531494140625,1445.9539174210274,,,,
2021-03-04,1541.914306640625,1534.9291213035972,,,,
2021-03-05,1533.2750244140625,1596.0806834920338,,,,
2021-03-06,1654.7415771484375,1613.0364250909936,,,,
2021-03-07,1723.15380859375,1637.3375721530556,,,,
2021-03-08,1834.7279052734373,1674.8392765600615,,,,
2021-03-09,1868.048828125,1732.761672104476,,,,
2021-03-10,1799.166259765625,1826.2775500747885,,,,
2021-03-11,1826.1949462890625,1812.8642422500398,,,,
2021-03-12,1772.1024169921875,1824.373521990596,,,,
2021-03-13,1924.6854248046875,1822.1419592254438,,,,
2021-03-14,1854.5643310546875,1900.9134823742693,,,,
2021-03-15,1791.7022705078125,1918.8346004840548,,,,
2021-03-16,1806.9718017578125,1778.5704061875522,,,,
2021-03-17,1823.4493408203125,1852.839140698639,,,,
2021-03-18,1782.8551025390625,1816.5586630007683,,,,
2021-03-19,1817.6241455078125,1776.5404997114024,,,,
2021-03-20,1812.6346435546875,1864.5291492047036,,,,
2021-03-21,1788.217041015625,1778.3178371807387,,,,
2021-03-22,1691.333984375,1820.159330732481,,,,
2021-03-23,1678.650146484375,1744.8418604868723,,,,
2021-03-24,1593.4134521484375,1585.340325860087,,,,
2021-03-25,1595.3592529296875,1570.2049365617509,,,,
2021-03-26,1702.842041015625,1623.0608745905695,,,,
2021-03-27,1716.49462890625,1757.7174024897997,,,,
2021-03-28,1691.35595703125,1685.1803392396428,,,,
2021-03-29,1819.6849365234373,1688.86406047053,,,,
2021-03-30,1846.03369140625,1770.1616113343275,,,,
2021-03-31,1918.362060546875,1813.2421659881259,,,,
2021-04-01,1977.27685546875,1950.234170154807,,,,
2021-04-02,2143.2255859375,2074.6276498413336,,,,
2021-04-03,2028.4224853515625,2053.2837962384906,,,,
2021-04-04,2093.122802734375,2072.991306107274,,,,
2021-04-05,2107.88720703125,2086.7726059829624,,,,
2021-04-06,2118.37890625,2133.7136778365707,,,,
2021-04-07,1971.0772705078125,2037.950194352917,,,,
2021-04-08,2088.57373046875,2067.9731229698477,,,,
2021-04-09,2072.10888671875,2157.5241442208376,,,,
2021-04-10,2135.942138671875,2104.9825790549567,,,,
2021-04-11,2157.656982421875,2090.791035115574,,,,
