index_date,close,high,low
2022-10-01,,1374.680512857325,1942.6373948002138
2022-10-02,,1378.2817481959603,2448.162050609991
2022-10-03,,1383.2884503494595,2448.162050609991
2022-10-04,,1392.0352885120692,2448.162050609991
2022-10-05,,1393.241435818951,2448.162050609991
2022-10-06,,1397.5825120971292,2448.162050609991
2022-10-07,,1403.2277098828154,2448.162050609991
2022-10-08,,1407.9893677695432,2448.162050609991
2022-10-09,,1412.5906767993597,2448.162050609991
2022-10-10,,1417.161963931534,2448.162050609991
2022-10-11,,1421.7034250482232,2448.162050609991
2022-10-12,,1426.2152547535231,2448.162050609991
2022-10-13,,1430.6976463818075,2448.162050609991
2022-10-14,,1435.1507920060126,2448.162050609991
2022-10-15,,1439.574882445867,2448.162050609991
2022-10-16,,1443.9701072760688,2448.162050609991
2022-10-17,,1448.336654834409,2448.162050609991
2022-10-18,,1452.6747122298418,2448.162050609991
2022-10-19,,1456.9844653505024,2448.162050609991
2022-10-20,,1461.2660988716723,2448.162050609991
2022-10-21,,1465.5197962636926,2448.162050609991
2022-10-22,,1469.745739799826,2448.162050609991
2022-10-23,,1473.9441105640674,2448.162050609991
2022-10-24,,1478.1150884589033,2448.162050609991
2022-10-25,,1482.2588522130206,2448.162050609991
2022-10-26,,1486.3755793889657,2448.162050609991
2022-10-27,,1490.4654463907523,2448.162050609991
2022-10-28,,1494.5286284714214,2448.162050609991
2022-10-29,,1498.5652997405502,2448.162050609991
2022-10-30,,1502.5756331717134,2448.162050609991
2022-10-31,,1506.5598006098946,2448.162050609991
