index_date,close,high,low
2021-02-01,0.0,0.0,0.0
2021-02-02,1973.11328125,1258.66796875,1104.990234375
2021-02-03,1961.80078125,1583.3046875,1954.765625
2021-02-04,-546.0234375,1111.98828125,873.515625
2021-02-05,1218.2421875,-366.26953125,341.26171875
2021-02-06,1121.703125,2620.640625,1479.625
2021-02-07,-362.5703125,-1224.7109375,-692.234375
2021-02-08,7293.0234375,6582.09375,630.171875
2021-02-09,284.640625,1799.79296875,7090.63671875
2021-02-10,-1562.921875,-858.15625,-1285.80859375
2021-02-11,2991.1484375,1317.90234375,306.609375
2021-02-12,-404.48046875,282.265625,2237.21484375
2021-02-13,-399.3359375,-697.98828125,-32.6953125
2021-02-14,1611.7734375,1439.89453125,722.2265625
2021-02-15,-772.23046875,-612.0703125,-767.03125
2021-02-16,1254.8125,1465.53125,853.828125
2021-02-17,2949.13671875,2192.8125,1871.07421875
2021-02-18,-469.2109375,-59.80859375,1943.38671875
2021-02-19,4208.3359375,3639.546875,-78.48828125
2021-02-20,211.38671875,1391.57421875,3689.28125
2021-02-21,1440.42578125,825.34375,1046.05078125
2021-02-22,-3332.625,-797.1796875,-6705.04296875
2021-02-23,-5382.89453125,-3328.4609375,-3676.9765625
2021-02-24,880.90625,-2914.79296875,1922.91015625
2021-02-25,-2611.48046875,658.83203125,-119.6484375
2021-02-26,-754.08984375,-3578.18359375,-2639.0078125
2021-02-27,-151.30859375,-117.515625,814.18359375
2021-02-28,-1050.68359375,-1536.83984375,-2027.41015625
2021-03-01,4493.47265625,3067.5859375,1873.4765625
2021-03-02,-1252.25390625,343.49609375,2113.75
2021-03-03,2159.25390625,2407.625,1045.4765625
2021-03-04,-1977.07421875,-800.046875,-617.390625
2021-03-05,366.13671875,-2338.66015625,-1114.4140625
2021-03-06,-14.921875,-249.2109375,715.01171875
2021-03-07,2294.30859375,2237.1484375,1661.15234375
2021-03-08,1039.83203125,929.703125,587.375
2021-03-09,2577.59375,2510.046875,2475.77734375
2021-03-10,1184.43359375,2434.13671875,1309.05859375
2021-03-11,1796.5703125,832.80859375,1193.703125
2021-03-12,-473.03125,-94.44140625,892.0546875
2021-03-13,3910.99609375,3687.2421875,841.32421875
2021-03-14,-1940.76953125,-85.9453125,3084.34375
2021-03-15,-3395.1171875,-1056.92578125,-3909.15234375
2021-03-16,897.703125,-3707.8125,-1838.13671875
2021-03-17,2065.9921875,2136.63671875,973.6015625
2021-03-18,-1011.97265625,1146.43359375,-275.05078125
2021-03-19,487.73046875,-617.875,2390.125
2021-03-20,-33.0078125,532.91015625,1569.59375
2021-03-21,-790.22265625,-1263.38671875,-2207.6796875
2021-03-22,-2994.27734375,-296.41796875,-1717.4609375
2021-03-23,209.80078125,-2486.0390625,-817.4609375
2021-03-24,-1964.6796875,1276.94140625,-956.36328125
2021-03-25,-1070.10546875,-3869.99609375,-1657.76171875
2021-03-26,3433.15234375,1744.92578125,723.28515625
2021-03-27,836.19921875,1430.90234375,2663.0546875
2021-03-28,-22.765625,42.09765625,828.203125
2021-03-29,1799.453125,1731.78515625,68.2265625
2021-03-30,1167.4921875,1105.125,2112.2109375
2021-03-31,1.140625,482.8046875,474.8671875
2021-04-01,176.9765625,-343.95703125,778.859375
2021-04-02,288.50390625,681.1171875,364.00390625
2021-04-03,-1780.421875,-156.91796875,-1265.390625
2021-04-04,1154.6640625,-1196.5234375,-435.21484375
2021-04-05,299.32421875,977.55078125,526.1484375
2021-04-06,-865.51953125,-411.71875,-48.015625
2021-04-07,-2143.421875,-748.43359375,-2042.78515625
2021-04-08,2275.015625,-392.40625,275.0625
2021-04-09,-78.94921875,598.30859375,1928.77734375
2021-04-10,1548.23046875,2339.6171875,230.84375
2021-04-11,411.73046875,-486.109375,1251.08984375
2021-04-12,-311.51171875,462.48046875,300.078125
2021-04-13,3610.00390625,2489.25,280.08203125
2021-04-14,-393.76171875,1120.8125,1684.83984375
2021-04-15,204.31640625,-1041.42578125,654.16796875
2021-04-16,-1741.22265625,-226.94921875,-1986.43359375
2021-04-17,-888.96875,-1022.546875,138.8203125
2021-04-18,-4467.63671875,-1514.71875,-7531.81640625
2021-04-19,-491.91796875,-3537.40234375,1539.05859375
2021-04-20,748.765625,-457.90625,-920.546875
2021-04-21,-2566.94140625,-304.17578125,247.421875
2021-04-22,-2143.81640625,-1347.7421875,-3111.65625
2021-04-23,-668.62109375,-3289.4375,-2869.1484375
2021-04-24,-1042.78515625,-953.23046875,1090.62109375
2021-04-25,-1046.61328125,-661.54296875,-1645.80078125
2021-04-26,5017.5,3781.984375,1693.3125
2021-04-27,1011.36328125,1128.9609375,4466.390625
2021-04-28,-208.4140625,810.2421875,568.73046875
2021-04-29,-1269.59375,-1111.36328125,-1469.890625
2021-04-30,4195.06640625,2784.875,711.57421875
2021-05-01,77.875,547.62109375,3922.671875
2021-05-02,-1196.97265625,-545.74609375,-910.3671875
2021-05-03,569.21484375,1070.71484375,448.96484375
2021-05-04,-3866.75390625,-1759.12890625,-3399.4453125
2021-05-05,4090.46875,697.18359375,-222.37109375
2021-05-06,-1027.4921875,451.953125,2413.453125
2021-05-07,959.88671875,243.31640625,-60.66015625
2021-05-08,1447.375,857.98046875,1653.36328125
2021-05-09,-571.4609375,-253.73046875,-493.20703125
2021-05-10,-2372.51953125,308.47265625,-2410.546875
2021-05-11,844.77734375,-2646.8125,537.1953125
2021-05-12,-7554.0390625,1066.8203125,-5458.1171875
2021-05-13,565.65625,-6608.51953125,-2170.515625
2021-05-14,164.34375,107.2734375,1888.55859375
2021-05-15,-3120.34765625,-798.453125,-2204.4375
2021-05-16,-304.12890625,-919.62109375,-2700.7890625
2021-05-17,-2918.546875,-3096.484375,-1756.0625
2021-05-18,-628.109375,-811.1015625,160.54296875
2021-05-19,-5906.9609375,-2266.33984375,-11686.3359375
2021-05-20,3780.296875,-1083.1328125,4369.12109375
2021-05-21,-3478.046875,-290.8125,-1434.1640625
2021-05-22,231.94140625,-3341.1171875,1767.23046875
2021-05-23,-2766.05078125,-541.8359375,-4156.34375
2021-05-24,3935.3984375,1545.921875,3323.7421875
2021-05-25,-303.7578125,-58.7890625,2030.34765625
2021-05-26,891.9765625,1005.7265625,1324.40625
2021-05-27,-857.23046875,-402.4609375,-657.93359375
2021-05-28,-2739.36328125,-1522.6484375,-2468.86328125
2021-05-29,-1081.5390625,-1622.46875,-1085.109375
2021-05-30,1062.0625,-833.83203125,-173.19140625
2021-05-31,1654.7265625,1067.58203125,721.20703125
2021-06-01,-647.9296875,428.484375,1545.140625
2021-06-02,890.25390625,334.60546875,179.22265625
2021-06-03,1633.5859375,1247.61328125,1277.6640625
2021-06-04,-2314.359375,-236.46875,-1526.25
2021-06-05,-1342.44921875,-1324.76953125,-817.30859375
2021-06-06,310.421875,-1481.29296875,404.1640625
2021-06-07,-2301.671875,354.1484375,-1823.9375
2021-06-08,-88.07421875,-2773.18359375,-2366.197265625
2021-06-09,3872.48828125,3519.984375,1361.421875
2021-06-10,-642.5234375,796.953125,3371.728515625
2021-06-11,631.80078125,-725.62890625,196.85546875
2021-06-12,-1781.8828125,-199.76953125,-1316.2578125
2021-06-13,3545.34375,1913.85546875,135.91796875
2021-06-14,1120.6171875,1655.58203125,3893.17578125
2021-06-15,187.79296875,316.90625,852.18359375
2021-06-16,-2059.20703125,-778.4921875,-1433.43359375
2021-06-17,-293.55859375,-1003.10546875,-736.359375
2021-06-18,-2266.2578125,-1326.41015625,-2183.8203125
2021-06-19,-171.375,-1729.46484375,-322.79296875
2021-06-20,82.42578125,-398.3125,-1500.98828125
2021-06-21,-4021.603515625,-337.84375,-2136.138671875
2021-06-22,828.966796875,-2429.1875,-2402.314453125
2021-06-23,1217.3671875,1460.95703125,2879.01171875
2021-06-24,939.41015625,475.44140625,612.58203125
2021-06-25,-3024.658203125,258.39453125,-1034.330078125
2021-06-26,548.498046875,-2849.658203125,-1166.3828125
2021-06-27,2463.3671875,2018.541015625,1887.255859375
2021-06-28,-215.30859375,563.76171875,1830.31640625
2021-06-29,1433.44140625,1322.21875,350.41015625
2021-06-30,-826.94140625,-467.3515625,-166.33203125
2021-07-01,-1468.71875,-1038.7734375,-1202.37109375
2021-07-02,324.9296875,-1096.39453125,-113.1015625
2021-07-03,771.5,969.671875,632.015625
2021-07-04,619.234375,1028.3046875,993.78125
2021-07-05,-1541.77734375,-653.22265625,-1182.81640625
2021-07-06,489.19140625,-245.80859375,386.2578125
2021-07-07,-379.8671875,-40.87109375,239.37109375
2021-07-08,-977.95703125,-1089.7578125,-1706.10546875
2021-07-09,920.640625,134.38671875,185.697265625
2021-07-10,-277.4921875,166.77734375,797.130859375
2021-07-11,719.66796875,375.6328125,230.7265625
2021-07-12,-1084.33984375,7.453125,-649.4296875
2021-07-13,-453.822265625,-1265.0546875,-435.888671875
2021-07-14,120.322265625,-265.703125,-622.294921875
2021-07-15,-1041.6171875,98.2421875,-463.416015625
