index_date,close,high,low
2021-02-01,33537.17578125,34638.21484375,32384.228515625
2021-02-02,35510.2890625,35896.8828125,33489.21875
2021-02-03,37472.08984375,37480.1875,35443.984375
2021-02-04,36926.06640625,38592.17578125,36317.5
2021-02-05,38144.30859375,38225.90625,36658.76171875
2021-02-06,39266.01171875,40846.546875,38138.38671875
2021-02-07,38903.44140625,39621.8359375,37446.15234375
2021-02-08,46196.46484375,46203.9296875,38076.32421875
2021-02-09,46481.10546875,48003.72265625,45166.9609375
2021-02-10,44918.18359375,47145.56640625,43881.15234375
2021-02-11,47909.33203125,48463.46875,44187.76171875
2021-02-12,47504.8515625,48745.734375,46424.9765625
2021-02-13,47105.515625,48047.74609375,46392.28125
2021-02-14,48717.2890625,49487.640625,47114.5078125
2021-02-15,47945.05859375,48875.5703125,46347.4765625
2021-02-16,49199.87109375,50341.1015625,47201.3046875
2021-02-17,52149.0078125,52533.9140625,49072.37890625
2021-02-18,51679.796875,52474.10546875,51015.765625
2021-02-19,55888.1328125,56113.65234375,50937.27734375
2021-02-20,56099.51953125,57505.2265625,54626.55859375
2021-02-21,57539.9453125,58330.5703125,55672.609375
2021-02-22,54207.3203125,57533.390625,48967.56640625
2021-02-23,48824.42578125,54204.9296875,45290.58984375
2021-02-24,49705.33203125,51290.13671875,47213.5
2021-02-25,47093.8515625,51948.96875,47093.8515625
2021-02-26,46339.76171875,48370.78515625,44454.84375
2021-02-27,46188.453125,48253.26953125,45269.02734375
2021-02-28,45137.76953125,46716.4296875,43241.6171875
2021-03-01,49631.2421875,49784.015625,45115.09375
2021-03-02,48378.98828125,50127.51171875,47228.84375
2021-03-03,50538.2421875,52535.13671875,48274.3203125
2021-03-04,48561.16796875,51735.08984375,47656.9296875
2021-03-05,48927.3046875,49396.4296875,46542.515625
2021-03-06,48912.3828125,49147.21875,47257.52734375
2021-03-07,51206.69140625,51384.3671875,48918.6796875
2021-03-08,52246.5234375,52314.0703125,49506.0546875
2021-03-09,54824.1171875,54824.1171875,51981.83203125
2021-03-10,56008.55078125,57258.25390625,53290.890625
2021-03-11,57805.12109375,58091.0625,54484.59375
2021-03-12,57332.08984375,57996.62109375,55376.6484375
2021-03-13,61243.0859375,61683.86328125,56217.97265625
2021-03-14,59302.31640625,61597.91796875,59302.31640625
2021-03-15,55907.19921875,60540.9921875,55393.1640625
2021-03-16,56804.90234375,56833.1796875,53555.02734375
2021-03-17,58870.89453125,58969.81640625,54528.62890625
2021-03-18,57858.921875,60116.25,54253.578125
2021-03-19,58346.65234375,59498.375,56643.703125
2021-03-20,58313.64453125,60031.28515625,58213.296875
2021-03-21,57523.421875,58767.8984375,56005.6171875
2021-03-22,54529.14453125,58471.48046875,54288.15625
2021-03-23,54738.9453125,55985.44140625,53470.6953125
2021-03-24,52774.265625,57262.3828125,52514.33203125
2021-03-25,51704.16015625,53392.38671875,50856.5703125
2021-03-26,55137.3125,55137.3125,51579.85546875
2021-03-27,55973.51171875,56568.21484375,54242.91015625
2021-03-28,55950.74609375,56610.3125,55071.11328125
2021-03-29,57750.19921875,58342.09765625,55139.33984375
2021-03-30,58917.69140625,59447.22265625,57251.55078125
2021-03-31,58918.83203125,59930.02734375,57726.41796875
2021-04-01,59095.80859375,59586.0703125,58505.27734375
2021-04-02,59384.3125,60267.1875,58869.28125
2021-04-03,57603.890625,60110.26953125,57603.890625
2021-04-04,58758.5546875,58913.74609375,57168.67578125
2021-04-05,59057.87890625,59891.296875,57694.82421875
2021-04-06,58192.359375,59479.578125,57646.80859375
2021-04-07,56048.9375,58731.14453125,55604.0234375
2021-04-08,58323.953125,58338.73828125,55879.0859375
2021-04-09,58245.00390625,58937.046875,57807.86328125
2021-04-10,59793.234375,61276.6640625,58038.70703125
2021-04-11,60204.96484375,60790.5546875,59289.796875
2021-04-12,59893.453125,61253.03515625,59589.875
2021-04-13,63503.45703125,63742.28515625,59869.95703125
2021-04-14,63109.6953125,64863.09765625,61554.796875
2021-04-15,63314.01171875,63821.671875,62208.96484375
