index_date,eth_usd,high,low
2017-01-01,9.30005835341093,0.0,0.0
2017-02-01,14.1799887736357,7.23015047912968,1.8586222423496803
2017-03-01,65.4993648363784,45.9230638762389,5.1947863766215185
2017-04-01,74.8800715311126,24.8234984365084,17.7659018424403
2017-05-01,176.354659680139,112.7532199129087,-4.3171986606895025
2017-06-01,240.054801894346,166.69733979877,80.65206413850089
2017-07-01,194.188622023859,-77.35227380235,-137.23435669144487
2017-08-01,399.318417576715,111.27862949390396,98.147131513
2017-09-01,358.321173786189,60.877022044436046,-34.010252483942025
2017-10-01,359.992645923406,28.760662211441968,33.47159933324801
2017-11-01,586.701112921965,147.01050610891406,27.08081881913904
2017-12-01,830.950817169497,466.98261301220793,37.95330671682791
2018-01-01,972.274548226883,-164.48292138645695,158.16075645853505
2018-02-01,768.932660178509,108.77940787162709,-516.7466768600119
2018-03-01,501.852735688113,-90.3402869818151,91.72878298412786
2018-04-01,619.021928900101,-205.28696475218396,100.21747959562009
2018-05-01,448.40084134573,-47.52123321770307,114.97324710570194
2018-06-01,383.56261938866,-143.269582172347,-196.81003905706297
2018-07-01,416.454592115765,-58.57929801603302,214.30084244872103
2018-08-01,294.286160906065,-61.95622663286997,-268.0554379126951
2018-09-01,277.107456787527,-94.78692614770898,127.73328190263402
2018-10-01,230.187776422556,-27.661332510446016,50.69761530608699
2018-11-01,142.356329783609,-54.17413101442003,-67.95852004865898
2018-12-01,146.376695729934,-68.40061117351598,36.01378710826761
2019-01-01,95.5796482811549,-74.269705976556,37.762626334789786
2019-02-01,123.565432555571,22.63485512267701,-17.887299544634104
2019-03-01,165.972349180483,12.42429202513,48.54299477024341
2019-04-01,143.440635126292,31.52034970021799,-35.93966152829171
2019-05-01,215.014248841006,56.030202898,-1.2345259323759876
2019-06-01,263.899227116638,91.70933223969803,46.51251886462498
2019-07-01,212.511220675749,-20.968839217151015,-42.77181288200697
2019-08-01,182.439476075433,-74.23390773372202,-43.38812480541904
2019-09-01,210.093214249126,6.684547203495015,50.512109807547034
2019-10-01,207.465013578407,4.508258554462998,-24.461983783216
2019-11-01,178.916090758559,-28.69104173690701,13.860777386345973
2019-12-01,142.150862881571,-33.032857291786996,-29.035952108223
2020-01-01,167.674537871296,-30.01864691424001,20.958407755985036
2020-02-01,202.240724587338,82.46581014077,43.672173533815965
2020-03-01,141.793293515087,10.068335442771001,-106.58823236367898
2020-04-01,178.611095097515,-30.577786324589,94.578724924134
2020-05-01,191.939007941836,-13.840166188124982,16.235020720685995
2020-06-01,220.994913305073,34.547131079057976,-14.86443249455398
2020-07-01,348.813863441834,111.20103466632503,13.654907800579991
2020-08-01,469.232852305457,95.38404537232697,59.22574871670102
2020-09-01,414.928348457751,73.46288760720802,-98.35237979542308
2020-10-01,418.411107781639,-16.65320779347303,-1.7723039137499086
2020-11-01,665.333581412154,180.270271996901,89.69542985481394
2020-12-01,804.679078309119,230.7806525194061,49.011317376187094
2021-01-01,1262.25828950975,505.270713027126,26.853679247691844
2021-02-01,1313.3450883986,251.74663002644002,276.13367092405406
2021-03-01,1890.63932250004,221.47505282461998,-202.61102365615386
2021-04-01,2329.06477544202,729.4207980764297,144.48940356580988
2021-05-01,2363.63844362593,1110.58170481981,-523.6697313412301
2021-06-01,2419.50719182225,-821.1756581280797,101.54654249034024
2021-07-01,2628.29183336023,-227.8804005318102,292.7909059408398
2021-08-01,3753.09761000685,833.3211123749502,313.1164958960401
2021-09-01,3392.23700457986,679.8805355132099,-231.7597365037402
2021-10-01,4521.95154794371,941.0854970684895,-141.09899373237977
2021-11-01,4714.69934652341,131.3269703711003,1138.3478571496203
2021-12-01,3975.56314148364,454.02160483847,-2106.212019668261
2022-01-01,2610.16458166608,-1977.58754053052,-470.1307390876791
2022-02-01,2752.63611389571,-1042.1680777862298,1084.8989847307994
2022-03-01,3082.99547207231,668.4912315063102,402.89225239965026
2022-04-01,2277.83665952493,-82.90303586970003,-106.60432300895991
2022-05-01,1748.76225467791,-748.4274415264103,-959.7111436183702
2022-06-01,1195.40822686666,-489.4016619398899,33.810045019445056
2022-07-01,,-9.303348886619915,647.199058111908
2022-08-01,,68.91111656782005,771.566332984679
2022-09-01,,-56.886463503150026,-420.49821517011196
2022-10-01,,78.14167662879981,5.3584882903201105
2022-11-01,,-146.63591735452997,861.5337271447597
2022-12-01,,170.14499946803994,-1765.9448576196198
