index_date,eth_usd,high,low
2017-01-01,9.30005835341093,7.46563013221032,8.35279646249472
2017-02-01,14.1799887736357,14.69578061134,10.2114187048444
2017-03-01,65.4993648363784,60.6188444875789,17.2648273238156
2017-04-01,74.8800715311126,85.4423429240873,42.0841377852271
2017-05-01,176.354659680139,198.195562836996,62.5862495859491
2017-06-01,240.054801894346,364.892902635766,163.740425525172
2017-07-01,194.188622023859,287.540628833416,127.66024477295
2017-08-01,399.318417576715,398.81925832732,189.727195533728
2017-09-01,358.321173786189,459.696280371756,217.783893810564
2017-10-01,359.992645923406,488.456942583198,279.312191420648
2017-11-01,586.701112921965,635.467448692112,367.921307849871
2017-12-01,830.950817169497,1102.45006170432,494.483730995922
2018-01-01,972.274548226883,937.967140317863,779.206910600508
2018-02-01,768.932660178509,1046.74654818949,547.183413345082
2018-03-01,501.852735688113,956.406261207675,406.888699073784
2018-04-01,619.021928900101,751.119296455491,366.811464398106
2018-05-01,448.40084134573,703.598063237788,441.70747682813
2018-06-01,383.56261938866,560.328481065441,319.793450201091
2018-07-01,416.454592115765,501.749183049408,412.180266022773
2018-08-01,294.286160906065,439.792956416538,236.51164393176
2018-09-01,277.107456787527,345.006030268829,188.576303743381
2018-10-01,230.187776422556,317.344697758383,191.338578861089
2018-11-01,142.356329783609,263.170566743963,126.142333930138
2018-12-01,146.376695729934,194.769955570447,96.9598761074546
2019-01-01,95.5796482811549,120.500249593891,105.540044619561
2019-02-01,123.565432555571,143.135104716568,96.2329135870333
2019-03-01,165.972349180483,155.559396741698,135.468777324749
2019-04-01,143.440635126292,187.079746441916,138.764979534173
2019-05-01,215.014248841006,243.109949339916,140.826655811221
2019-06-01,263.899227116638,334.819281579614,189.400850952894
2019-07-01,212.511220675749,313.850442362463,195.20323321256
2019-08-01,182.439476075433,239.616534628741,157.617490666807
2019-09-01,210.093214249126,246.301081832236,170.543857928601
2019-10-01,207.465013578407,250.809340386699,159.008241407179
2019-11-01,178.916090758559,222.118298649792,161.333402272103
2019-12-01,142.150862881571,189.085441358005,134.622611028804
2020-01-01,167.674537871296,159.066794443765,128.87022754149
2020-02-01,202.240724587338,241.532604584535,166.790017587992
2020-03-01,141.793293515087,251.600940027306,98.121575270815
2020-04-01,178.611095097515,221.023153702717,124.031857877772
2020-05-01,191.939007941836,207.182987514592,166.177161205415
2020-06-01,220.994913305073,241.73011859365,193.458032038504
2020-07-01,348.813863441834,352.931153259975,234.393810672173
2020-08-01,469.232852305457,448.315198632302,334.555338022543
2020-09-01,414.928348457751,521.77808623951,336.36448557749
2020-10-01,418.411107781639,505.124878446037,336.401329218687
2020-11-01,665.333581412154,685.395150442938,426.133602714698
2020-12-01,804.679078309119,916.175802962344,564.877193586896
2021-01-01,1262.25828950975,1421.44651598947,730.474463706786
2021-02-01,1313.3450883986,1673.19314601591,1172.20540475073
2021-03-01,1890.63932250004,1894.66819884053,1411.32532213852
2021-04-01,2329.06477544202,2624.08899691696,1794.93464309212
2021-05-01,2363.63844362593,3734.67070173677,1654.87423270449
2021-06-01,2419.50719182225,2913.49504360869,1616.3603648072
2021-07-01,2628.29183336023,2685.61464307688,1870.63740285075
2021-08-01,3753.09761000685,3518.93575545183,2438.03093679034
2021-09-01,3392.23700457986,4198.81629096504,2773.66473422619
2021-10-01,4521.95154794371,5139.90178803353,2968.19953792966
2021-11-01,4714.69934652341,5271.22875840463,4301.08219878275
2021-12-01,3975.56314148364,5725.2503632431,3527.75283996758
2022-01-01,2610.16458166608,3747.66282271258,2284.29274206473
2022-02-01,2752.63611389571,2705.49474492635,2125.73162889268
2022-03-01,3082.99547207231,3373.98597643266,2370.06276812028
2022-04-01,2277.83665952493,3291.08294056296,2507.78958433892
2022-05-01,1748.76225467791,2542.65549903655,1685.80525693919
2022-06-01,1195.40822686666,2053.25383709666,897.630974558905
2022-07-01,,2043.95048821004,756.655750290528
2022-08-01,,2112.86160477786,1387.24685900683
2022-09-01,,2055.97514127471,1597.33975255302
2022-10-01,,2134.11681790351,1812.79113438953
2022-11-01,,1987.48090054898,2889.7762433708
2022-12-01,,2157.62590001702,2200.81649473245
